"Cargo type"," (Weight)"
"2808",
"2809",
"280910",
"280920","55480"
"2810",
"28100090","5464044"
"2811","4"
"281111","8370"
"281119",
"281121",
"28112100","11929680"
"281122","262905.9"
"28112200",
"281129",
"2813","1535300"
"281310","3787100"
"28131000","265000"
"281390","313920"
"28139090",
"2814",
"281400",
"281410",
"28141000","104896544"
"28142000",
"2815","787200"
"281500",
"281511","48720"
"281512","903447"
"28151200","5976207"
"281520","81000"
"281530",
"2816",
"281610",
"2817","174.179"
"2818","133369902"
"28181011",
"281820","428584"
"28182000","11842485"
"28182010",
"28182090",
"281830",
"28183000",
"2819","361080"
"281910","1956006.89"
"281990","2118416"
"28199090","425272"
"2820","17864"
"282010",
"282110","64682"
"2822","19888.2"
"282200","21696.6"
"2823",
"282410",
"282490",
"2825","105440"
"282510","24000"
"282520","308080"
"28252000",
"282530",
"282550",
"282560",
"282570",
"2826","132280"
"282619",
"2827",
"282720",
"282731",
"282739",
"282741","24816"
"282749",
"282759",
"2828","39435.6"
"282800",
"282890",
"2829","50400"
"282911",
"283090",
"283110",
"2832",
"2833","103562"
"283311",
"283321",
"28332200",
"2833220000",
"283325","83200"
"283329",
"28332920","100688"
"28332980",
"2834","2498889"
"283410","390638"
"28341010",
"283421","1313486.47"
"28342100","49097"
"283429","4372220.78"
"28342910","49433.2"
"28342980","377863.16"
"2835","41400"
"283526","96288"
"283529",
"283531",
"28353100",
"283539",
"2836","108540"
"283620","110.677"
"28362000","1304160"
"283630","49392"
"28363000",
"283640",
"28364000",
"283650","161720"
"28365000",
"28366000","108324"
"283691",
"283699",
"28369990","20713"
"2837",
"283720",
"2839",
"283911",
"283990","95800"
"2840",
"28401",
"28401910","3000384"
"28401990","480512"
"2841","11833"
"284100",
"28413",
"284130","2329760"
"28413000",
"28415",
"284150","88825"
"28415000",
"28415010",
"284170",
"2841800",
"284190","59208"
"2841903000",
"2847","238757"
"284700",
"284920",
"284990",
"285000",
"28530090",
"28539090","48000"
"2901","63460"
"290110",
"29011000",
"2901100000",
"29012200","23045033"
"29012300",
"290129",
"29012900",
"29012990",
"2902","98860"
"290200",
"290211",
"29021100",
"290219","71022"
"290220",
"29022000","15163660"
"290230",
"29023000",
"29024100",
"29024300",
"290290",
"2903",
"290311",
"29031200",
"290313",
"2903130000",
"290322",
"290339",
"29033911",
"290351",
"290371",
"290399",
"2904","84000"
"290410",
"290420","48840"
"290499",
"2905","124800"
"290510000",
"290511",
"29051100","198500"
"290512","388488"
"29051200",
"290513",
"29051300",
"2905130000",
"290514",
"29051490",
"29051685",
"290519",
"290544","108480"
"290545","54060"
"29054500",
"290549",
"290559",
"290612",
"290613",
"290621",
"2907","19160"
"290711",
"290713",
"290729","39220"
"29072900",
"290899","773.4"
"2909","239284"
"290919",
"29091910",
"29091990",
"290930","22400"
"29093090",
"290943",
"290944",
"29094400",
"290949",
"29094980",
"290960","80970"
"2910",
"2912","3440"
"291211",
"29121100",
"291230",
"2914","4103859"
"291411",
"29141100","5004807"
"291412",
"291419","17220"
"291422","33280"
"291429",
"291431",
"291469",
"291479","10880"
"2915","163529.44"
"291511",
"291512",
"291521",
"29152100",
"291529","19656"
"291531","24040"
"29153100",
"291533",
"291539",
"29153990",
"291550",
"291560",
"2915600",
"29156019",
"291570","175353"
"291590",
"2916","553892.77"
"29161100",
"29161200",
"2916120000",
"291614","44240"
"29161400",
"291619","12960"
"291631","6232577.64"
"29163100","45223.2"
"291639",
"2917","3296800"
"291712",
"291713",
"291714",
"291719",
"291736","7756476"
"291739",
"2918","20530"
"291810",
"291812",
"291814","554400"
"291815","25260"
"291822","25200"
"291823","89240"
"291830",
"291899","580317"
"29189906",
"2919","95820"
"291990",
"2920",
"292090",
"29209085",
"2921",
"292119",
"292129",
"292141",
"29214100",
"292142","25740"
"29214200",
"29214300",
"292145",
"292149",
"292151",
"29215990",
"2922","236892"
"292210",
"292211",
"29221100","18260"
"29221500",
"292217",
"292219",
"292221",
"292241","2748938"
"292242",
"292249",
"29224985","1029"
"292250","1083512"
"2923",
"292320",
"292390",
"29239000",
"2924","92640"
